pickup date,pickup time,dropoff date,dropoff time,CATEGORY,PURPOSE,Pickup Location,Dropoff Location,trip duration (min),trip_distance (km)
2016-02-05 00:00:00,1899-12-30 13:22:00,2016-02-05 00:00:00,1899-12-30 13:41:00,Business,Meeting,Durham,Cary,19,16.737136
2016-02-06 00:00:00,1899-12-30 16:20:00,2016-02-06 00:00:00,1899-12-30 16:53:00,Business,Between Offices,Cary,Raleigh,33,18.346476
2016-02-06 00:00:00,1899-12-30 18:57:00,2016-02-06 00:00:00,1899-12-30 19:21:00,Business,Errand/Supplies,Raleigh,Cary,24,14.48406
2016-02-06 00:00:00,1899-12-30 19:28:00,2016-02-06 00:00:00,1899-12-30 19:37:00,Business,Meal/Entertain,Edgehill Farms,Whitebridge,9,5.149888000000001
2016-02-07 00:00:00,1899-12-30 16:49:00,2016-02-07 00:00:00,1899-12-30 17:01:00,Business,Errand/Supplies,Cary,Apex,12,9.012303999999999
2016-02-07 00:00:00,1899-12-30 18:03:00,2016-02-07 00:00:00,1899-12-30 18:17:00,Business,Customer Visit,Apex,Cary,14,9.173238
2016-02-07 00:00:00,1899-12-30 18:39:00,2016-02-07 00:00:00,1899-12-30 18:53:00,Business,Temporary Site,Cary,Morrisville,14,9.816974
2016-02-07 00:00:00,1899-12-30 20:22:00,2016-02-07 00:00:00,1899-12-30 20:40:00,Business,Meeting,Morrisville,Cary,18,9.816974
2016-02-08 00:00:00,1899-12-30 12:57:00,2016-02-08 00:00:00,1899-12-30 13:08:00,Business,Meal/Entertain,Whitebridge,Edgehill Farms,11,6.9201619999999995
2016-02-08 00:00:00,1899-12-30 14:00:00,2016-02-08 00:00:00,1899-12-30 14:10:00,Business,Meal/Entertain,Edgehill Farms,Whitebridge,10,4.345218
2016-02-09 00:00:00,1899-12-30 10:54:00,2016-02-09 00:00:00,1899-12-30 11:07:00,Personal,Meal/Entertain,Whitebridge,Northwoods,13,8.529501999999999
2016-02-09 00:00:00,1899-12-30 11:43:00,2016-02-09 00:00:00,1899-12-30 11:50:00,Personal,Meal/Entertain,Northwoods,Tanglewood,7,4.82802
2016-02-09 00:00:00,1899-12-30 13:36:00,2016-02-09 00:00:00,1899-12-30 13:52:00,Personal,Meal/Entertain,Tanglewood,Preston,16,8.207633999999999
2016-02-09 00:00:00,1899-12-30 13:58:00,2016-02-09 00:00:00,1899-12-30 14:02:00,Personal,Meal/Entertain,Preston,Whitebridge,4,2.41401
2016-02-09 00:00:00,1899-12-30 18:55:00,2016-02-09 00:00:00,1899-12-30 19:11:00,Business,Meal/Entertain,Cary,Morrisville,16,9.816974
2016-02-09 00:00:00,1899-12-30 20:24:00,2016-02-09 00:00:00,1899-12-30 20:40:00,Business,Meal/Entertain,Morrisville,Cary,16,9.816974
2016-02-11 00:00:00,1899-12-30 16:28:00,2016-02-11 00:00:00,1899-12-30 17:10:00,Business,Meal/Entertain,Cary,Raleigh,42,27.841582000000002
2016-02-11 00:00:00,1899-12-30 17:49:00,2016-02-11 00:00:00,1899-12-30 18:10:00,Business,Meal/Entertain,Eastgate,Walnut Terrace,21,9.173238
2016-02-11 00:00:00,1899-12-30 18:24:00,2016-02-11 00:00:00,1899-12-30 18:46:00,Business,Temporary Site,Raleigh,Morrisville,22,21.72609
2016-02-11 00:00:00,1899-12-30 20:36:00,2016-02-11 00:00:00,1899-12-30 20:51:00,Business,Temporary Site,Morrisville,Cary,15,9.816974
2016-02-12 00:00:00,1899-12-30 08:21:00,2016-02-12 00:00:00,1899-12-30 08:42:00,Business,Temporary Site,Cary,Durham,21,13.67939
2016-02-12 00:00:00,1899-12-30 10:45:00,2016-02-12 00:00:00,1899-12-30 10:52:00,Business,Temporary Site,Durham,Morrisville,7,4.184284
2016-02-12 00:00:00,1899-12-30 11:14:00,2016-02-12 00:00:00,1899-12-30 11:35:00,Business,Customer Visit,Morrisville,Raleigh,21,27.35878
2016-02-12 00:00:00,1899-12-30 13:02:00,2016-02-12 00:00:00,1899-12-30 13:36:00,Business,Meeting,Raleigh,Cary,34,28.96812
2016-02-12 00:00:00,1899-12-30 14:49:00,2016-02-12 00:00:00,1899-12-30 15:06:00,Business,Meeting,Cary,Morrisville,17,13.518456
2016-02-12 00:00:00,1899-12-30 15:33:00,2016-02-12 00:00:00,1899-12-30 16:06:00,Business,Customer Visit,Morrisville,Cary,33,18.50741
2016-02-13 00:00:00,1899-12-30 14:21:00,2016-02-13 00:00:00,1899-12-30 14:41:00,Business,Meeting,Cary,Morrisville,20,14.323126
2016-02-13 00:00:00,1899-12-30 23:45:00,2016-02-14 00:00:00,1899-12-30 00:01:00,Personal,Meeting,East Elmhurst,Jackson Heights,16,4.345218
2016-02-14 00:00:00,1899-12-30 00:50:00,2016-02-14 00:00:00,1899-12-30 01:00:00,Personal,Meeting,Jackson Heights,East Elmhurst,10,2.896812
2016-02-14 00:00:00,1899-12-30 14:07:00,2016-02-14 00:00:00,1899-12-30 14:40:00,Business,Meeting,East Elmhurst,New York,33,13.035654
2016-02-14 00:00:00,1899-12-30 14:46:00,2016-02-14 00:00:00,1899-12-30 15:03:00,Business,Meeting,Midtown,Midtown West,17,3.21868
2016-02-14 00:00:00,1899-12-30 16:35:00,2016-02-14 00:00:00,1899-12-30 17:02:00,Business,Meeting,New York,Long Island City,27,20.92142
2016-02-14 00:00:00,1899-12-30 17:06:00,2016-02-14 00:00:00,1899-12-30 17:29:00,Business,Meeting,Long Island City,Jamaica,23,22.369826
2016-02-16 00:00:00,1899-12-30 03:21:00,2016-02-16 00:00:00,1899-12-30 04:13:00,Business,Customer Visit,Katunayaka,Unknown Location,52,70.328158
2016-02-16 00:00:00,1899-12-30 08:29:00,2016-02-16 00:00:00,1899-12-30 09:34:00,Business,Customer Visit,Unknown Location,Colombo,65,22.691694
2016-02-16 00:00:00,1899-12-30 10:31:00,2016-02-16 00:00:00,1899-12-30 10:41:00,Business,Customer Visit,Colombo,Colombo,10,4.184284
2016-02-16 00:00:00,1899-12-30 11:32:00,2016-02-16 00:00:00,1899-12-30 12:02:00,Business,Customer Visit,Colombo,Colombo,30,7.24203
2016-02-16 00:00:00,1899-12-30 12:39:00,2016-02-16 00:00:00,1899-12-30 12:42:00,Business,Customer Visit,Colombo,Colombo,3,2.735878
2016-02-16 00:00:00,1899-12-30 13:43:00,2016-02-16 00:00:00,1899-12-30 13:55:00,Business,Temporary Site,Colombo,Colombo,12,2.896812
2016-02-16 00:00:00,1899-12-30 16:34:00,2016-02-16 00:00:00,1899-12-30 17:10:00,Business,Temporary Site,Colombo,Colombo,36,9.65604
2016-02-16 00:00:00,1899-12-30 17:17:00,2016-02-16 00:00:00,1899-12-30 17:26:00,Business,Meal/Entertain,Colombo,Nugegoda,9,1.7702740000000001
2016-02-16 00:00:00,1899-12-30 17:40:00,2016-02-16 00:00:00,1899-12-30 17:44:00,Business,Errand/Supplies,Nugegoda,Unknown Location,4,5.793624
2016-02-17 00:00:00,1899-12-30 13:18:00,2016-02-17 00:00:00,1899-12-30 14:04:00,Business,Temporary Site,Unknown Location,Colombo,46,23.657297999999997
2016-02-17 00:00:00,1899-12-30 15:17:00,2016-02-17 00:00:00,1899-12-30 15:22:00,Business,Meal/Entertain,Colombo,Colombo,5,2.735878
2016-02-17 00:00:00,1899-12-30 15:33:00,2016-02-17 00:00:00,1899-12-30 16:17:00,Business,Temporary Site,Colombo,Katunayaka,44,34.439876
2016-02-17 00:00:00,1899-12-30 16:38:00,2016-02-17 00:00:00,1899-12-30 16:43:00,Business,Errand/Supplies,Katunayaka,Katunayaka,5,0.80467
2016-02-18 00:00:00,1899-12-30 08:19:00,2016-02-18 00:00:00,1899-12-30 08:27:00,Business,Temporary Site,Unknown Location,Unknown Location,8,37.81949
2016-02-18 00:00:00,1899-12-30 14:03:00,2016-02-18 00:00:00,1899-12-30 14:45:00,Business,Temporary Site,Unknown Location,Islamabad,42,20.438617999999998
2016-02-18 00:00:00,1899-12-30 15:16:00,2016-02-18 00:00:00,1899-12-30 15:31:00,Business,Temporary Site,Islamabad,Unknown Location,15,9.65604
2016-02-18 00:00:00,1899-12-30 18:44:00,2016-02-18 00:00:00,1899-12-30 18:58:00,Business,Customer Visit,Unknown Location,Islamabad,14,8.368568
2016-02-18 00:00:00,1899-12-30 19:27:00,2016-02-18 00:00:00,1899-12-30 20:08:00,Business,Meeting,Islamabad,Unknown Location,41,16.0934
2016-02-19 00:00:00,1899-12-30 09:02:00,2016-02-19 00:00:00,1899-12-30 09:14:00,Business,Meeting,Unknown Location,Unknown Location,12,29.450922000000002
2016-02-19 00:00:00,1899-12-30 09:21:00,2016-02-19 00:00:00,1899-12-30 09:51:00,Business,Meeting,Unknown Location,Unknown Location,30,18.024607999999997
2016-02-19 00:00:00,1899-12-30 10:21:00,2016-02-19 00:00:00,1899-12-30 10:48:00,Business,Meeting,Unknown Location,Islamabad,27,12.230984
2016-02-19 00:00:00,1899-12-30 11:20:00,2016-02-19 00:00:00,1899-12-30 11:26:00,Personal,Meeting,Islamabad,Islamabad,6,2.41401
2016-02-19 00:00:00,1899-12-30 11:45:00,2016-02-19 00:00:00,1899-12-30 11:50:00,Personal,Meeting,Islamabad,Islamabad,5,1.60934
2016-02-19 00:00:00,1899-12-30 12:09:00,2016-02-19 00:00:00,1899-12-30 12:27:00,Business,Temporary Site,Islamabad,Unknown Location,18,11.748182
2016-02-19 00:00:00,1899-12-30 16:26:00,2016-02-19 00:00:00,1899-12-30 16:45:00,Business,Temporary Site,Unknown Location,Islamabad,19,5.63269
2016-02-19 00:00:00,1899-12-30 17:09:00,2016-02-19 00:00:00,1899-12-30 17:20:00,Business,Temporary Site,Islamabad,Islamabad,11,6.759228
2016-02-19 00:00:00,1899-12-30 20:08:00,2016-02-19 00:00:00,1899-12-30 20:30:00,Personal,Temporary Site,Islamabad,Unknown Location,22,21.887024
2016-02-19 00:00:00,1899-12-30 20:34:00,2016-02-19 00:00:00,1899-12-30 20:51:00,Personal,Temporary Site,Unknown Location,Unknown Location,17,4.02335
2016-02-20 00:00:00,1899-12-30 07:59:00,2016-02-20 00:00:00,1899-12-30 08:32:00,Personal,Temporary Site,Unknown Location,Islamabad,33,23.174496
2016-02-20 00:00:00,1899-12-30 10:48:00,2016-02-20 00:00:00,1899-12-30 10:56:00,Personal,Temporary Site,Islamabad,Islamabad,8,4.82802
2016-02-20 00:00:00,1899-12-30 11:45:00,2016-02-20 00:00:00,1899-12-30 11:53:00,Personal,Temporary Site,Islamabad,Islamabad,8,2.41401
2016-02-20 00:00:00,1899-12-30 12:41:00,2016-02-20 00:00:00,1899-12-30 13:17:00,Business,Temporary Site,Islamabad,R?walpindi,36,29.611855999999996
2016-02-20 00:00:00,1899-12-30 14:50:00,2016-02-20 00:00:00,1899-12-30 15:54:00,Business,Meeting,R?walpindi,R?walpindi,64,37.175754000000005
2016-02-20 00:00:00,1899-12-30 16:59:00,2016-02-20 00:00:00,1899-12-30 17:54:00,Personal,Meeting,R?walpindi,Unknown Location,55,26.55411
2016-02-20 00:00:00,1899-12-30 18:00:00,2016-02-20 00:00:00,1899-12-30 18:03:00,Business,Errand/Supplies,Unknown Location,Unknown Location,3,5.149888000000001
2016-02-20 00:00:00,1899-12-30 19:28:00,2016-02-20 00:00:00,1899-12-30 19:49:00,Business,Errand/Supplies,Unknown Location,Unknown Location,21,12.391918
2016-02-21 00:00:00,1899-12-30 09:07:00,2016-02-21 00:00:00,1899-12-30 09:46:00,Business,Errand/Supplies,Unknown Location,Islamabad,39,23.33543
2016-02-21 00:00:00,1899-12-30 11:39:00,2016-02-21 00:00:00,1899-12-30 11:43:00,Business,Errand/Supplies,Unknown Location,Islamabad,4,3.8624159999999996
2016-02-21 00:00:00,1899-12-30 11:47:00,2016-02-21 00:00:00,1899-12-30 12:01:00,Business,Errand/Supplies,Islamabad,Islamabad,14,7.402963999999999
2016-02-21 00:00:00,1899-12-30 12:13:00,2016-02-21 00:00:00,1899-12-30 12:35:00,Business,Meal/Entertain,Islamabad,Unknown Location,22,14.162192000000001
2016-02-21 00:00:00,1899-12-30 12:51:00,2016-02-21 00:00:00,1899-12-30 13:12:00,Business,Temporary Site,Unknown Location,Unknown Location,21,13.357522000000001
2016-02-21 00:00:00,1899-12-30 13:33:00,2016-02-21 00:00:00,1899-12-30 14:30:00,Business,Temporary Site,Unknown Location,Unknown Location,57,36.532018
2016-02-21 00:00:00,1899-12-30 14:36:00,2016-02-21 00:00:00,1899-12-30 15:03:00,Business,Temporary Site,Unknown Location,Islamabad,27,20.92142
2016-02-21 00:00:00,1899-12-30 15:14:00,2016-02-21 00:00:00,1899-12-30 15:31:00,Business,Temporary Site,Islamabad,Noorpur Shahan,17,13.035654
2016-02-21 00:00:00,1899-12-30 15:36:00,2016-02-21 00:00:00,1899-12-30 15:41:00,Business,Meal/Entertain,Noorpur Shahan,Unknown Location,5,3.5405480000000003
2016-02-21 00:00:00,1899-12-30 16:04:00,2016-02-21 00:00:00,1899-12-30 16:32:00,Business,Meal/Entertain,Unknown Location,Unknown Location,28,15.610598
2016-02-21 00:00:00,1899-12-30 23:15:00,2016-02-21 00:00:00,1899-12-30 23:52:00,Business,Meeting,Unknown Location,R?walpindi,37,32.1868
2016-02-22 00:00:00,1899-12-30 21:54:00,2016-02-22 00:00:00,1899-12-30 22:09:00,Business,Customer Visit,Morrisville,Cary,15,13.035654
2016-02-24 00:00:00,1899-12-30 14:30:00,2016-02-24 00:00:00,1899-12-30 14:35:00,Business,Customer Visit,Whitebridge,Preston,5,2.41401
2016-02-24 00:00:00,1899-12-30 15:19:00,2016-02-24 00:00:00,1899-12-30 15:25:00,Business,Errand/Supplies,Preston,Whitebridge,6,2.735878
2016-02-25 00:00:00,1899-12-30 16:27:00,2016-02-25 00:00:00,1899-12-30 16:35:00,Business,Errand/Supplies,Whitebridge,Heritage Pines,8,4.9889540000000006
2016-02-25 00:00:00,1899-12-30 16:47:00,2016-02-25 00:00:00,1899-12-30 17:02:00,Business,Errand/Supplies,Heritage Pines,Whitebridge,15,5.149888000000001
2016-02-25 00:00:00,1899-12-30 17:16:00,2016-02-25 00:00:00,1899-12-30 17:36:00,Business,Meal/Entertain,Whitebridge,Tanglewood,20,9.65604
2016-02-25 00:00:00,1899-12-30 18:22:00,2016-02-25 00:00:00,1899-12-30 18:39:00,Business,Meal/Entertain,Tanglewood,Whitebridge,17,9.334171999999999
2016-02-26 00:00:00,1899-12-30 09:06:00,2016-02-26 00:00:00,1899-12-30 09:29:00,Business,Meal/Entertain,Whitebridge,Westpark Place,23,10.138842
2016-02-26 00:00:00,1899-12-30 11:05:00,2016-02-26 00:00:00,1899-12-30 11:11:00,Personal,Meal/Entertain,Westpark Place,Whitebridge,6,2.735878
2016-02-26 00:00:00,1899-12-30 11:35:00,2016-02-26 00:00:00,1899-12-30 11:59:00,Business,Meeting,Cary,Durham,24,17.059003999999998
2016-02-26 00:00:00,1899-12-30 13:01:00,2016-02-26 00:00:00,1899-12-30 13:24:00,Business,Meeting,Durham,Cary,23,15.932466
2016-02-26 00:00:00,1899-12-30 14:38:00,2016-02-26 00:00:00,1899-12-30 14:46:00,Personal,Meeting,Whitebridge,Westpark Place,8,3.057746
2016-02-26 00:00:00,1899-12-30 15:00:00,2016-02-26 00:00:00,1899-12-30 15:18:00,Personal,Meeting,Westpark Place,Hazelwood,18,6.759228
